"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Price","FamilySize","Child","AgeInterval","Survived_Predicted"
"1","1","female",30,0,0,86.5,"S",28.8333333333333,1,"0","18-39",2.53159480269184
"1","1","female",33,0,0,86.5,"S",28.8333333333333,1,"0","18-39",2.45124417441185
"1","1","female",16,0,0,86.5,"S",28.8333333333333,1,"0","13-17",2.90656440133175
"1","1","female",39,1,1,79.65,"S",26.55,3,"0","18-39",1.91289737302066
"0","1","male",52,1,1,79.65,"S",26.55,3,"0","40-54",-1.00196609740076
"1","1","female",18,0,2,79.65,"S",26.55,3,"0","13-17",2.5859994419965
"0","1","male",47,0,0,52,"S",26,1,"0","40-54",-0.567953211556964
"0","1","male",35,0,0,52,"S",26,1,"0","18-39",-0.246550698437036
"1","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39",-0.116273348028368
"1","1","female",60,1,0,75.25,"C",75.25,2,"0","55-100",1.93836757162167
"0","1","male",61,0,0,33.5,"S",33.5,1,"0","55-100",-0.984507792706068
"0","1","male",47,0,0,38.5,"S",38.5,1,"0","40-54",-0.598299009604209
"1","1","female",44,0,1,57.9792,"C",28.9896,2,"0","40-54",2.43872998539648
"1","1","female",16,0,1,57.9792,"C",28.9896,2,"0","13-17",3.18866918267632
"1","1","male",26,0,0,30,"C",30,1,"0","18-39",0.417063758106561
"1","1","male",35,0,0,26.55,"C",26.55,1,"0","18-39",0.168256835987875
"1","1","male",26,0,0,26.55,"S",26.55,1,"0","18-39",-0.0627062625083796
"1","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54",-0.571593574948265
"0","1","male",39,0,0,0,"S",0,1,"0","18-39",-0.470572387881218
"0","1","male",2,0,0,0,"S",0,1,"1","0-12",0.520418694238559
"1","1","female",19,0,0,30,"S",30,1,"0","18-39",2.69921098863182
"0","1","male",16,0,0,0,"S",0,1,"0","13-17",0.145449095598643
"0","1","male",40,0,0,0,"S",0,1,"0","18-39",-0.497355930641212
"1","1","male",40,0,0,31,"C",31,1,"0","18-39",0.0443419963590345
"0","1","male",38,0,0,39.6,"C",39.6,1,"0","18-39",0.117240479153564
"0","1","male",28,0,0,26.55,"S",26.55,1,"0","18-39",-0.116273348028368
"0","1","male",45.5,0,0,28.5,"S",28.5,1,"0","40-54",-0.580602064388104
"0","1","male",45,0,0,26.55,"S",26.55,1,"0","40-54",-0.571593574948265
"0","1","male",30,0,0,27.75,"C",27.75,1,"0","18-39",0.304871954058711
"1","1","male",51,0,0,26.55,"S",26.55,1,"0","40-54",-0.732294831508229
"0","1","male",16,0,0,26,"S",26,1,"0","13-17",0.203892854800746
"0","1","male",28,0,0,47.1,"S",47.1,1,"0","18-39",-0.0700802998897825
"0","1","male",29,0,0,30,"S",30,1,"0","18-39",-0.135301853509621
"0","1","male",27,0,2,211.5,"C",211.5,3,"0","18-39",0.546662420212692
"1","1","female",45,0,1,55,"S",27.5,2,"0","40-54",1.93323470363049
"1","1","female",22,0,1,55,"S",27.5,2,"0","18-39",2.54925618711035
"0","1","male",65,0,1,61.9792,"C",61.9792,2,"0","55-100",-0.681410479535331
"0","1","male",19,0,0,35,"S",35,1,"0","18-39",0.143772758552262
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100",-1.02691380186816
"1","1","female",62,0,0,80,"S",40,1,"0","55-100",1.6599104945715
"1","1","female",38,0,0,80,"S",40,1,"0","18-39",2.30271552081136
"1","1","female",14,1,2,120,"S",30,4,"0","13-17",2.54738606507718
"1","1","male",36,1,2,120,"S",30,4,"0","18-39",-0.608529290184181
"1","1","male",11,1,2,120,"S",30,4,"0","0-12",0.0610592788156681
"1","1","female",36,1,2,120,"S",30,4,"0","18-39",1.95814812435732
"0","1","male",56,0,0,50,"S",50,1,"0","55-100",-0.813500770181687
"0","1","male",19,1,0,53.1,"S",53.1,2,"0","18-39",-0.0519891602626777
"0","1","male",29,1,0,66.6,"S",33.3,2,"0","18-39",-0.289478789815372
"1","1","female",22,1,0,66.6,"S",33.3,2,"0","18-39",2.46468342404608
"0","1","female",25,1,2,151.55,"S",37.8875,4,"0","18-39",2.32368634867211
"1","1","male",0.92,1,2,151.55,"S",37.8875,4,"1","0-12",0.401956643791267
"0","1","female",2,1,2,151.55,"S",37.8875,4,"1","0-12",2.93970783215197
"1","1","female",22,0,0,151.55,"S",37.8875,1,"0","18-39",2.89208493462167
"1","1","female",58,0,0,26.55,"S",26.55,1,"0","55-100",1.64689778371331
"0","1","male",45,0,0,35.5,"S",35.5,1,"0","40-54",-0.551475434761387
"1","1","male",52,0,0,30.5,"S",30.5,1,"0","40-54",-0.750199418543288
"0","1","male",55,0,0,30.5,"S",30.5,1,"0","40-54",-0.83055004682327
"1","1","male",28,0,0,35.5,"S",35.5,1,"0","18-39",-0.09615520784149
"1","1","female",35,1,0,52,"S",26,2,"0","18-39",2.08367894953729
"0","1","male",42,1,0,52,"S",26,2,"0","40-54",-0.670483264324166
"0","1","male",56,0,0,26.55,"S",26.55,1,"0","55-100",-0.866212545308199
"1","1","male",34,0,0,26.55,"S",26.55,1,"0","18-39",-0.276974604588331
"0","1","male",33,0,0,42.4,"S",42.4,1,"0","18-39",-0.214562847083979
"0","1","male",45,0,0,31,"S",15.5,1,"0","40-54",-0.561590700777136
"1","1","female",30,0,0,31,"C",15.5,1,"0","18-39",2.87885483850047
"0","1","male",60,0,0,26.55,"S",26.55,1,"0","55-100",-0.973346716348174
"1","1","female",35,1,0,53.1,"S",26.55,2,"0","18-39",2.08615157011892
"0","1","male",37,1,0,53.1,"S",26.55,2,"0","18-39",-0.534092929942569
"1","1","male",27,0,0,30.5,"S",30.5,1,"0","18-39",-0.0806108495434387
"1","1","female",33,1,0,53.1,"S",26.55,2,"0","18-39",2.1397186556389
"1","1","male",27,1,0,53.1,"S",26.55,2,"0","18-39",-0.266257502342629
"0","1","male",62,0,0,26.55,"S",26.55,1,"0","55-100",-1.02691380186816
"0","2","male",29,1,0,21,"S",10.5,2,"0","18-39",-1.13167409068979
"0","2","female",27,1,0,21,"S",10.5,2,"0","18-39",1.48857040937169
"1","1","male",37,1,1,52.5542,"S",26.2771,3,"0","18-39",-0.661119894869636
"1","1","female",47,1,1,52.5542,"S",26.2771,3,"0","40-54",1.63772209207192
"1","1","female",19,0,2,26.2833,"S",26.2833,3,"0","18-39",2.43925626215147
"1","1","male",42,1,0,52.5542,"S",52.5542,2,"0","40-54",-0.669237513118405
"1","1","female",48,1,0,39.6,"C",39.6,2,"0","40-54",2.17963469952795
"1","1","male",25,1,0,55.4417,"C",55.4417,2,"0","18-39",0.264588326164465
"1","1","female",24,0,0,83.1583,"C",41.57915,1,"0","18-39",3.15679944604471
"1","1","female",56,0,1,83.1583,"C",41.57915,2,"0","55-100",2.1739259821737
"1","1","female",53,2,0,51.4792,"S",51.4792,3,"0","40-54",1.36395673983667
"0","1","male",58,0,0,29.7,"C",29.7,1,"0","55-100",-0.440683961280962
"1","1","male",64,0,0,29.7,"C",29.7,1,"0","55-100",-0.601385217840926
"1","1","female",32,0,0,76.2917,"C",76.2917,1,"0","18-39",2.92709610715948
"1","1","female",19,1,0,91.0792,"C",45.5396,2,"0","18-39",3.07207428451842
"1","1","male",25,1,0,91.0792,"C",45.5396,2,"0","18-39",0.344695613416963
"0","2","male",34,0,0,13,"S",13,1,"0","18-39",-1.0471267330617
"0","3","male",56,0,0,7.75,"Q",7.75,1,"0","55-100",-2.72575510819136
"1","1","female",52,1,1,93.5,"S",46.75,3,"0","40-54",1.59584385810032
"1","1","female",30,0,0,93.5,"S",46.75,1,"0","18-39",2.54732966093856
"0","1","male",36,0,0,40.125,"C",40.125,1,"0","18-39",0.171987679042056
"1","1","male",56,0,0,35.5,"C",35.5,1,"0","55-100",-0.374079421785121
"1","1","male",32,0,0,30.5,"C",30.5,1,"0","18-39",0.257486419992792
"1","1","female",21,0,0,77.9583,"S",25.9861,1,"0","18-39",2.75344633914807
"1","1","female",51,1,0,77.9583,"S",25.9861,2,"0","40-54",1.71349228978108
"1","1","female",63,1,0,77.9583,"S",25.9861,2,"0","55-100",1.39208977666115
"0","1","male",50,1,0,55.9,"S",27.95,2,"0","40-54",-0.875985042523803
"1","1","female",39,1,0,55.9,"S",27.95,2,"0","18-39",1.98531134237763
"0","1","male",65,0,0,26.55,"S",26.55,1,"0","55-100",-1.10726443014814
"1","1","male",60,1,1,79.2,"C",79.2,3,"0","55-100",-0.745230982746089
"1","1","female",22,0,2,49.5,"C",49.5,3,"0","18-39",2.88310797198721
"1","3","female",31,0,0,7.75,"Q",7.75,1,"0","18-39",0.510510875349987
"1","3","female",1,0,0,7.75,"Q",7.75,1,"1","0-12",1.31401715814981
"1","3","female",35,0,0,7.75,"Q",7.75,1,"0","18-39",0.403376704310011
"0","3","male",22,0,0,8.05,"S",8.05,1,"0","18-39",-2.03724468264069
"1","3","male",17,0,0,56.4958,"S",8.07082857142857,1,"0","13-17",-1.79442871231944
"1","3","male",32,0,0,56.4958,"S",8.07082857142857,1,"0","18-39",-2.19618185371935
"1","3","male",28,0,0,56.4958,"S",8.07082857142857,1,"0","18-39",-2.08904768267938
"0","3","male",44,0,0,56.4958,"S",8.07082857142857,1,"0","40-54",-2.51758436683928
"0","3","male",28,0,0,56.4958,"S",8.07082857142857,1,"0","18-39",-2.08904768267938
"1","3","male",26,0,0,56.4958,"S",8.07082857142857,1,"0","18-39",-2.03548059715939
"1","3","male",32,0,0,56.4958,"S",8.07082857142857,1,"0","18-39",-2.19618185371935
"1","1","female",40,1,1,134.5,"C",67.25,3,"0","18-39",2.48142266714438
"1","1","female",41,0,0,134.5,"C",67.25,1,"0","40-54",2.81688698650275
"1","1","male",21,0,0,30,"S",30,1,"0","18-39",0.0789664885703307
"1","1","female",28,0,0,110.8833,"C",27.720825,1,"0","18-39",3.1119865528462
"1","1","female",39,1,1,110.8833,"C",27.720825,3,"0","18-39",2.4551197203679
"1","1","male",17,0,2,110.8833,"C",27.720825,3,"0","13-17",0.588327917562238
"0","1","male",49,1,1,110.8833,"C",27.720825,3,"0","40-54",-0.379393121773541
"1","1","female",58,1,0,89.1042,"C",44.5521,2,"0","55-100",2.02307663901619
"1","1","male",49,1,0,89.1042,"C",44.5521,2,"0","40-54",-0.30254889068536
"0","1","male",54,0,0,51.8625,"S",51.8625,1,"0","40-54",-0.755747088449625
"1","1","female",30,1,0,51.8625,"S",51.8625,2,"0","18-39",2.21728758576455
"1","1","female",49,0,0,25.9292,"S",25.9292,1,"0","40-54",1.88655421141046
"1","1","female",48,0,0,25.9292,"S",25.9292,1,"0","40-54",1.91333775417046
"1","1","male",31,1,0,57,"S",28.5,2,"0","18-39",-0.36462510950229
"1","1","female",17,1,0,57,"S",28.5,2,"0","13-17",2.57702190367912
"0","1","male",56,0,0,30.6958,"C",30.6958,1,"0","55-100",-0.384878479783534
"0","1","male",36,1,0,78.85,"S",39.425,2,"0","18-39",-0.449427587203569
"1","1","female",26,0,0,78.85,"S",39.425,1,"0","18-39",2.62153302150504
"1","1","female",33,1,0,90,"Q",45,2,"0","18-39",2.44546821632488
"0","1","male",44,2,0,90,"Q",45,3,"0","40-54",-0.652275935143719
"1","1","female",35,1,0,90,"S",45,2,"0","18-39",2.16909675144805
"1","1","male",38,1,0,90,"S",45,2,"0","18-39",-0.477931291373425
"1","1","male",23,0,0,35.5,"S",35.5,1,"0","18-39",0.03776250595848
"0","1","male",64,1,4,263,"S",65.75,6,"0","55-100",-1.28862800295485
"0","1","male",19,3,2,263,"S",65.75,6,"0","18-39",-0.304663920787063
"1","1","female",24,3,2,263,"S",65.75,6,"0","18-39",2.12809577995446
"1","1","female",23,3,2,263,"S",65.75,6,"0","18-39",2.15487932271446
"1","1","male",48,0,0,26.55,"S",26.55,1,"0","40-54",-0.651944203228247
"0","1","male",38,0,0,0,"S",0,1,"0","18-39",-0.443788845121224
"1","1","male",47,0,0,30.5,"S",30.5,1,"0","40-54",-0.616281704743318
"1","1","male",48,1,0,52,"S",26,2,"0","40-54",-0.83118452088413
"1","1","female",2,1,0,52,"S",26,2,"1","0-12",2.96753586061709
"1","2","female",28,1,0,26,"S",26,2,"0","18-39",1.47302605107364
"0","2","male",27,0,0,13,"S",13,1,"0","18-39",-0.85964193374174
"0","3","male",51,0,0,8.05,"S",8.05,1,"0","40-54",-2.81396742268052
"0","2","male",28,0,0,13.5,"S",13.5,1,"0","18-39",-0.88530155805554
"0","2","male",57,0,0,12.35,"Q",12.35,1,"0","55-100",-1.44180493116477
"0","2","male",27,0,0,13,"S",13,1,"0","18-39",-0.85964193374174
"1","2","female",48,1,2,65,"S",32.5,4,"0","40-54",0.773420643574516
"1","2","female",24,1,2,65,"S",32.5,4,"0","18-39",1.41622566981437
"0","3","male",18,0,0,8.3,"S",8.3,1,"0","13-17",-1.92954855237762
"1","2","female",45,0,0,13.5,"S",13.5,1,"0","40-54",1.22605562956606
"1","2","female",19,0,0,12.35,"Q",12.35,1,"0","18-39",2.1426471082565
"1","2","female",36,1,0,26,"S",26,2,"0","18-39",1.25875770899369
"1","2","female",29,1,0,26,"S",26,2,"0","18-39",1.44624250831365
"0","2","male",36,0,0,13,"S",13,1,"0","18-39",-1.10069381858169
"1","2","male",3,1,1,26,"S",8.66666666666667,3,"1","0-12",-0.549862890019207
"1","2","male",2,1,1,26,"S",8.66666666666667,3,"1","0-12",-0.523079347259213
"0","2","male",36.5,0,2,26,"S",8.66666666666667,3,"0","18-39",-1.33646390146303
"1","2","male",1,2,1,39,"S",19.5,4,"1","0-12",-0.703521691465341
"1","2","female",4,2,1,39,"S",19.5,4,"1","0-12",1.78280509479617
"1","2","female",50,0,1,26,"S",13,2,"0","40-54",0.994435781369746
"1","2","female",25,0,1,26,"S",13,2,"0","18-39",1.6640243503696
"1","2","female",28,0,0,13,"S",13,1,"0","18-39",1.68025193803976
"1","2","female",18,0,1,23,"S",11.5,2,"0","13-17",1.84476563901239
"1","2","female",34,0,1,23,"S",11.5,2,"0","18-39",1.41622895485248
"0","2","male",18,0,0,11.5,"S",11.5,1,"0","13-17",-0.621961804240378
"0","2","male",23,0,0,13,"S",13,1,"0","18-39",-0.752507762701765
"0","2","male",24,0,0,13,"S",13,1,"0","18-39",-0.779291305461759
"0","2","male",48,0,0,13,"S",13,1,"0","40-54",-1.42209633170161
"1","2","female",32,0,0,13,"S",13,1,"0","18-39",1.57311776699979
"0","2","male",25,0,0,13,"S",13,1,"0","18-39",-0.806074848221753
"1","2","female",30,0,0,12.35,"Q",12.35,1,"0","18-39",1.84802813789656
"0","2","male",18,0,0,13,"S",13,1,"0","13-17",-0.618590048901795
"1","2","female",42,0,0,13,"S",13,1,"0","40-54",1.30528233939985
"0","2","male",25,1,0,26,"S",26,2,"0","18-39",-1.01330073518787
"0","2","male",59,0,0,13.5,"S",13.5,1,"0","55-100",-1.71559138361535
"0","2","male",47,0,0,15,"S",15,1,"0","40-54",-1.39081711515684
"1","2","female",28,0,0,13,"S",13,1,"0","18-39",1.68025193803976
"0","2","female",38,0,0,13,"S",13,1,"0","18-39",1.41241651043982
"1","2","female",14,1,0,30.0708,"C",15.0354,2,"0","13-17",2.32916112747129
"0","2","male",32.5,1,0,30.0708,"C",15.0354,2,"0","18-39",-0.733011828130093
"1","2","female",25,1,1,30,"S",30,3,"0","18-39",1.43656793137198
"1","2","male",42,0,0,13,"S",13,1,"0","40-54",-1.26139507514165
"0","2","male",3,0,0,0,"S",0,1,"1","0-12",-0.246058787102937
"0","2","male",35,0,0,0,"S",0,1,"0","18-39",-1.10313215542274
"0","2","male",28,0,0,0,"S",0,1,"0","18-39",-0.915647356102786
"0","2","male",18,0,0,0,"S",0,1,"0","13-17",-0.647811928502846
"0","2","male",38,0,0,0,"S",0,1,"0","18-39",-1.18348278370273
"0","2","male",44,0,0,0,"S",0,1,"0","40-54",-1.34418404026269
"0","2","male",16,0,0,26,"S",13,1,"0","13-17",-0.535801083780756
"0","2","male",35,0,0,26,"S",13,1,"0","18-39",-1.04468839622064
"1","2","female",28,0,0,12.65,"S",12.65,1,"0","18-39",1.67946519512743
"1","1","female",29,0,0,211.3375,"S",70.4458333333333,1,"0","18-39",2.83899268350539
"1","1","female",43,0,1,211.3375,"S",70.4458333333333,2,"0","40-54",2.33822298931427
"1","1","female",15,0,1,211.3375,"S",70.4458333333333,2,"0","13-17",3.0881621865941
"1","2","female",24,2,1,27,"S",13.5,4,"0","18-39",1.22016019688763
"0","2","male",42,1,0,27,"S",13.5,2,"0","40-54",-1.46637312521538
"1","2","female",34,0,0,13,"S",13,1,"0","18-39",1.5195506814798
"0","2","male",54,1,0,26,"S",13,2,"0","40-54",-1.7900234752277
"0","2","female",44,1,0,26,"S",13,2,"0","40-54",1.04448936691374
"1","2","male",31,0,0,13,"S",13,1,"0","18-39",-0.966776104781716
"0","2","male",23,0,0,10.5,"S",10.5,1,"0","18-39",-0.758127354932736
"0","2","male",42,0,0,13,"S",13,1,"0","40-54",-1.26139507514165
"0","2","male",27,0,0,26,"S",26,1,"0","18-39",-0.830420054140689
"0","2","male",25,0,0,13,"S",13,1,"0","18-39",-0.806074848221753
"0","2","male",34,1,0,26,"S",13,2,"0","18-39",-1.25435262002782
"1","2","female",24,1,0,26,"S",13,2,"0","18-39",1.58016022211362
"1","2","male",43,0,0,13,"S",13,1,"0","40-54",-1.28817861790164
"1","2","male",34,0,0,13,"S",13,1,"0","18-39",-1.0471267330617
"1","2","female",55,0,0,16,"S",16,1,"0","40-54",0.963839794197092
"0","2","male",39,0,0,13,"S",13,1,"0","18-39",-1.18104444686167
"1","2","female",6,0,1,33,"S",11,2,"1","0-12",2.1886465210562
"1","2","female",18,0,0,33,"S",11,1,"0","13-17",1.99304410348747
"0","2","male",28,0,1,33,"S",11,2,"0","18-39",-0.967268834205164
"0","2","male",52,0,0,13.5,"S",13.5,1,"0","40-54",-1.5281065842954
"1","2","female",24,0,0,13,"S",13,1,"0","18-39",1.78738610907974
"1","2","male",0.83,0,2,29,"S",14.5,3,"1","0-12",-0.374351420536883
"1","2","female",22,1,1,29,"S",14.5,3,"0","18-39",1.51467072275957
"0","2","male",28,0,0,13,"S",13,1,"0","18-39",-0.886425476501735
"0","2","female",24,0,0,13,"S",13,1,"0","18-39",1.78738610907974
"0","2","male",50,0,0,13,"S",13,1,"0","40-54",-1.4756634172216
"1","2","female",13,0,1,19.5,"S",9.75,2,"0","0-12",1.970815923689
"1","2","female",41,0,1,19.5,"S",9.75,2,"0","40-54",1.22087672640917
"0","2","male",30,0,0,13,"S",13,1,"0","18-39",-0.939992562021722
"0","2","male",34,0,0,13,"S",6.5,1,"0","18-39",-1.0471267330617
"0","2","male",52,0,0,13,"S",6.5,1,"0","40-54",-1.52923050274159
"1","2","female",30,0,0,13,"S",13,1,"0","18-39",1.62668485251978
"1","2","male",0.67,1,1,14.5,"S",7.25,3,"1","0-12",-0.51330735965089
"1","2","female",24,0,2,14.5,"S",7.25,3,"0","18-39",1.53915767331592
"0","2","female",26,1,1,26,"S",26,3,"0","18-39",1.40079304104243
"1","2","female",18,0,2,13,"S",13,3,"0","13-17",1.6964871745373
"0","2","male",30,0,0,13,"S",13,1,"0","18-39",-0.939992562021722
"1","2","female",19,0,0,26,"S",13,1,"0","18-39",1.95052570248076
"0","2","male",39,0,0,26,"S",13,1,"0","18-39",-1.15182256726062
"1","3","male",22,0,0,7.225,"C",7.225,1,"0","18-39",-1.56708416474071
"0","3","male",40,0,0,7.225,"C",7.225,1,"0","18-39",-2.0491879344206
"0","3","male",32,0,0,7.225,"C",7.225,1,"0","18-39",-1.83491959234065
"1","3","male",0.42,0,1,8.5167,"C",8.5167,2,"1","0-12",-1.11199187661734
"1","3","female",41,0,0,7.2292,"C",7.2292,1,"0","40-54",0.490715378275849
"0","3","female",17,0,0,14.4583,"C",7.22915,1,"0","13-17",1.14977024219447
"0","3","male",16,0,0,14.4583,"C",7.22915,1,"0","13-17",-1.39012362958703
"0","3","male",45.5,0,0,7.225,"C",7.225,1,"0","40-54",-2.19649741960057
"0","3","male",21,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.54029118106577
"0","3","male",27,0,0,7.225,"C",7.225,1,"0","18-39",-1.70100187854068
"1","2","female",2,1,1,26,"S",13,3,"1","0-12",2.04359806728228
"1","2","female",33,0,2,26,"S",13,3,"0","18-39",1.32395591273844
"0","3","male",32,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.8349101514257
"0","3","male",17,0,0,7.225,"C",7.225,1,"0","13-17",-1.43316645094074
"0","3","male",20,0,0,4.0125,"C",4.0125,1,"0","18-39",-1.52073825523752
"1","3","female",24,0,0,7.225,"C",7.225,1,"0","18-39",0.946026164280799
"1","3","female",29,0,2,15.2458,"C",15.2458,3,"0","18-39",0.578537709524898
"1","3","male",12,1,0,11.2417,"C",5.62085,2,"0","0-12",-1.52666761726229
"1","3","female",14,1,0,11.2417,"C",5.62085,2,"0","13-17",0.986442711759223
"1","3","male",20,1,1,15.7417,"C",7.87085,3,"0","18-39",-1.85662078887769
"1","3","female",1,0,2,15.7417,"C",7.87085,3,"1","0-12",1.32959160911966
"1","3","female",15,1,0,14.4542,"C",7.2271,2,"0","13-17",0.966880345016027
"0","3","male",27,1,0,14.4542,"C",7.2271,2,"0","18-39",-1.9211995826454
"1","3","male",20,1,1,15.2458,"C",7.6229,3,"0","18-39",-1.85773549119263
"1","3","male",10,1,1,15.2458,"C",7.6229,3,"0","0-12",-1.58990006359269
"0","3","male",36,2,0,21.6792,"C",21.6792,3,"0","18-39",-2.38245861250501
"1","3","male",20,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.51350763830577
"0","3","male",40.5,0,0,7.225,"C",7.225,1,"0","40-54",-2.0625797058006
"0","3","female",19,1,0,14.4542,"C",7.2271,2,"0","18-39",0.859746173976051
"0","3","female",14.5,1,0,14.4542,"C",7.2271,2,"0","13-17",0.980272116396024
"1","3","female",5,2,1,19.2583,"C",4.814575,4,"1","0-12",0.883266743712318
"1","3","female",24,0,3,19.2583,"C",4.814575,4,"0","18-39",0.595674773304376
"1","3","female",0.75,2,1,19.2583,"C",4.814575,4,"1","0-12",0.997096800442292
"1","3","female",0.75,2,1,19.2583,"C",4.814575,4,"1","0-12",0.997096800442292
"1","3","female",15,0,0,7.225,"C",7.225,1,"0","13-17",1.18707804912074
"1","3","female",25,0,2,22.3583,"C",11.17915,3,"0","18-39",0.701659620461988
"1","3","female",26,1,1,22.3583,"C",11.17915,3,"0","18-39",0.564228406686021
"0","3","male",22,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.56707472382576
"0","2","male",44,1,0,26,"S",26,2,"0","40-54",-1.52218804762776
"0","3","male",0.75,0,0,7.2292,"C",7.2292,1,"1","0-12",-0.997924440175891
"0","3","male",25,0,0,7.225,"C",7.225,1,"0","18-39",-1.64743479302069
"0","3","male",26,0,0,7.225,"C",7.225,1,"0","18-39",-1.67421833578069
"1","3","male",28,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.72777598038573
"0","3","female",9,1,1,15.2458,"C",7.6229,3,"0","0-12",1.0035608937088
"0","3","female",49,0,2,15.2458,"C",7.6229,3,"0","40-54",0.0428668543250186
"0","3","male",26,1,0,14.4542,"C",14.4542,2,"0","18-39",-1.8944160398854
"0","3","male",34.5,0,0,6.4375,"C",6.4375,1,"0","18-39",-1.90364862079339
"0","3","male",30,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.78134306590571
"0","3","male",27,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.70099243762573
"1","3","female",13,0,0,7.2292,"C",7.2292,1,"0","0-12",1.24065457555568
"0","3","female",61,1,0,14.4583,"C",14.4583,2,"0","55-100",-0.265153405812436
"0","3","male",17,1,1,7.2292,"C",7.2292,3,"0","13-17",-1.79540487214417
"0","3","female",18,0,1,14.4542,"C",7.2271,2,"0","13-17",0.997177387752017
"0","3","female",45,0,1,14.4542,"C",7.2271,2,"0","40-54",0.27402173323218
"0","3","male",23.5,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.60725003796575
"0","3","male",30,0,0,7.225,"C",7.225,1,"0","18-39",-1.78135250682066
"0","3","male",15,1,1,7.2292,"C",7.2292,3,"0","13-17",-1.74183778662418
"0","3","male",28.5,0,0,7.2292,"C",7.2292,1,"0","18-39",-1.74116775176572
"0","3","male",11,0,0,18.7875,"C",9.39375,1,"0","0-12",-1.24647458031253
"1","3","male",26,0,0,18.7875,"C",9.39375,1,"0","18-39",-1.64822772171244
